filename : 10, Label: 27, Prediction: [  9.10911262e-01   8.58326033e-02   9.02371597e-04]
filename : 2344, Label: 16, Prediction: [ 0.68858886  0.04617444  0.04163979]
filename : 2351, Label: 29, Prediction: [ 0.38147458  0.3238143   0.20696925]
filename : 2364, Label: 14, Prediction: [ 0.28633669  0.2735146   0.24398467]
filename : 2371, Label: 8, Prediction: [ 0.62693644  0.08544318  0.07908679]
filename : 2380, Label: 13, Prediction: [ 0.95009983  0.0184577   0.01497744]
filename : 2389, Label: 17, Prediction: [ 0.2978403   0.1692877   0.13362199]
filename : 2402, Label: 24, Prediction: [ 0.91059393  0.03325677  0.02238474]
filename : 2403, Label: 29, Prediction: [ 0.92352027  0.04291922  0.01136717]
filename : 2414, Label: 13, Prediction: [  9.99659419e-01   2.40221008e-04   3.96409851e-05]
filename : 242, Label: 8, Prediction: [ 0.19364034  0.18063617  0.1449143 ]
filename : 2433, Label: 10, Prediction: [ 0.58800167  0.3849017   0.00720509]
filename : 2446, Label: 19, Prediction: [ 0.31838152  0.2255879   0.11208275]
filename : 2453, Label: 8, Prediction: [ 0.81440479  0.08180954  0.03424792]
filename : 246, Label: 29, Prediction: [ 0.73731959  0.19806722  0.02561351]
filename : 2467, Label: 5, Prediction: [ 0.39654252  0.121946    0.11918602]
filename : 2470, Label: 13, Prediction: [  9.99556720e-01   2.84073147e-04   6.25123139e-05]
filename : 2477, Label: 12, Prediction: [ 0.97146261  0.00848905  0.00365512]
filename : 2484, Label: 27, Prediction: [ 0.57075566  0.38433781  0.0112688 ]
filename : 2499, Label: 8, Prediction: [ 0.89271146  0.06728526  0.0347505 ]
filename : 251, Label: 20, Prediction: [ 0.57616395  0.09685322  0.06727985]
filename : 2515, Label: 24, Prediction: [ 0.40743732  0.3281202   0.05808289]
filename : 2523, Label: 16, Prediction: [ 0.4953925   0.17159028  0.07078529]
filename : 2541, Label: 6, Prediction: [ 0.43257141  0.27901754  0.19238745]
filename : 2542, Label: 29, Prediction: [ 0.4563823   0.20218496  0.12935042]
filename : 2553, Label: 24, Prediction: [ 0.9645505   0.01535639  0.00608498]
filename : 2569, Label: 6, Prediction: [ 0.88258672  0.05745641  0.01171026]
filename : 2574, Label: 3, Prediction: [ 0.33225322  0.23323308  0.21190685]
filename : 2580, Label: 12, Prediction: [ 0.59601474  0.18535718  0.07560656]
filename : 2585, Label: 1, Prediction: [ 0.74907362  0.09449383  0.0356588 ]
filename : 26, Label: 13, Prediction: [ 0.83219725  0.15261683  0.00719486]
filename : 2607, Label: 7, Prediction: [ 0.51544577  0.32614741  0.0702939 ]
filename : 2608, Label: 7, Prediction: [ 0.3103306   0.26937288  0.11120861]
filename : 2618, Label: 27, Prediction: [ 0.43779448  0.21706438  0.20738755]
filename : 2630, Label: 8, Prediction: [ 0.54047984  0.35212839  0.02925531]
filename : 264, Label: 3, Prediction: [ 0.48292115  0.09205867  0.04903951]
filename : 2650, Label: 25, Prediction: [ 0.43681353  0.10932554  0.0862895 ]
filename : 266, Label: 5, Prediction: [ 0.6155538   0.08181612  0.05733022]
filename : 2668, Label: 7, Prediction: [ 0.85618162  0.03695019  0.03592371]
filename : 2675, Label: 11, Prediction: [ 0.62228906  0.07438171  0.06830108]
filename : 2676, Label: 14, Prediction: [ 0.45340842  0.19729918  0.15586098]
filename : 2681, Label: 25, Prediction: [ 0.34092885  0.15028328  0.12290794]
filename : 2686, Label: 12, Prediction: [ 0.81720942  0.05176065  0.03860237]
filename : 2699, Label: 25, Prediction: [ 0.33569416  0.22079544  0.1132203 ]
filename : 2711, Label: 21, Prediction: [ 0.26126578  0.23686162  0.13081713]
filename : 2726, Label: 4, Prediction: [ 0.82553607  0.04456867  0.0393577 ]
filename : 2734, Label: 9, Prediction: [ 0.4777098  0.0931049  0.0909138]
filename : 274, Label: 16, Prediction: [ 0.84157032  0.09988119  0.01020009]
filename : 2740, Label: 11, Prediction: [ 0.41031656  0.14693238  0.0809946 ]
filename : 2750, Label: 24, Prediction: [  9.98713136e-01   3.95078561e-04   3.93660797e-04]
filename : 2765, Label: 8, Prediction: [ 0.55698901  0.16706698  0.06809413]
filename : 2773, Label: 16, Prediction: [ 0.30682403  0.25666213  0.13693739]
filename : 2789, Label: 19, Prediction: [ 0.9557395   0.03099277  0.00320143]
filename : 2797, Label: 22, Prediction: [ 0.98591101  0.00302206  0.00236342]
filename : 2805, Label: 19, Prediction: [ 0.85692739  0.096262    0.0330086 ]
filename : 2813, Label: 12, Prediction: [ 0.81907922  0.04001133  0.02766824]
filename : 2815, Label: 18, Prediction: [ 0.62130171  0.19406997  0.12118041]
filename : 2822, Label: 21, Prediction: [ 0.29500943  0.25600174  0.16124603]
filename : 2830, Label: 26, Prediction: [ 0.61568588  0.30548182  0.06623162]
filename : 2838, Label: 2, Prediction: [ 0.41798681  0.37769529  0.08656028]
filename : 2845, Label: 21, Prediction: [ 0.900217    0.0276232   0.02390132]
filename : 2858, Label: 4, Prediction: [ 0.94811159  0.02808535  0.01048601]
filename : 2869, Label: 19, Prediction: [ 0.20716204  0.18081149  0.12788981]
filename : 2877, Label: 9, Prediction: [ 0.57859182  0.14162727  0.06986025]
filename : 2878, Label: 19, Prediction: [ 0.35453781  0.33470491  0.10841043]
filename : 2894, Label: 22, Prediction: [ 0.45438397  0.15977608  0.08510499]
filename : 2902, Label: 26, Prediction: [ 0.90592051  0.04083551  0.01174768]
filename : 2912, Label: 13, Prediction: [  9.99752581e-01   1.24796366e-04   6.58508652e-05]
filename : 292, Label: 28, Prediction: [ 0.51746172  0.31338879  0.11026344]
filename : 293, Label: 27, Prediction: [  8.80330443e-01   1.18861549e-01   4.13687230e-04]
filename : 2940, Label: 14, Prediction: [ 0.82330221  0.06430233  0.02374013]
filename : 2946, Label: 7, Prediction: [ 0.59287053  0.105065    0.09920695]
filename : 2948, Label: 3, Prediction: [ 0.66452628  0.23040366  0.02938831]
filename : 2956, Label: 21, Prediction: [ 0.59678447  0.29309589  0.04205412]
filename : 2964, Label: 28, Prediction: [ 0.39681613  0.35794553  0.06808479]
filename : 2970, Label: 14, Prediction: [ 0.46070132  0.37361345  0.08858402]
filename : 2983, Label: 24, Prediction: [ 0.65763748  0.18206091  0.05373702]
filename : 2993, Label: 22, Prediction: [ 0.6929912   0.15015888  0.05657312]
filename : 3000, Label: 26, Prediction: [ 0.49319455  0.28659344  0.13165876]
filename : 3011, Label: 17, Prediction: [ 0.43347043  0.16354592  0.08196124]
filename : 3013, Label: 26, Prediction: [ 0.47571149  0.34166276  0.14434817]
filename : 3021, Label: 12, Prediction: [ 0.27522776  0.19070773  0.13858125]
filename : 3026, Label: 16, Prediction: [ 0.61217219  0.19099034  0.0437081 ]
filename : 3034, Label: 18, Prediction: [ 0.58771163  0.29114619  0.05667525]
filename : 3042, Label: 6, Prediction: [ 0.45760125  0.37593269  0.10334368]
filename : 305, Label: 18, Prediction: [ 0.49565136  0.40280005  0.02676846]
filename : 3059, Label: 11, Prediction: [ 0.4048183   0.15460736  0.08476986]
filename : 3063, Label: 9, Prediction: [ 0.48647389  0.13208847  0.12907608]
filename : 3064, Label: 26, Prediction: [ 0.55697489  0.3361935   0.04268362]
filename : 307, Label: 29, Prediction: [ 0.90813851  0.03393019  0.02021198]
filename : 3083, Label: 6, Prediction: [ 0.25075209  0.18469651  0.1778506 ]
filename : 3091, Label: 8, Prediction: [ 0.90213174  0.04039232  0.02919467]
filename : 31, Label: 13, Prediction: [ 0.28094471  0.23500293  0.17044193]
filename : 3108, Label: 23, Prediction: [ 0.53730971  0.12981461  0.06130099]
filename : 3119, Label: 2, Prediction: [ 0.41888607  0.22186209  0.121944  ]
filename : 3125, Label: 5, Prediction: [ 0.57948661  0.10174112  0.09136532]
filename : 3126, Label: 11, Prediction: [ 0.27787203  0.16982026  0.16183367]
filename : 3132, Label: 23, Prediction: [ 0.66269654  0.26449281  0.02740773]
filename : 3139, Label: 2, Prediction: [ 0.98952687  0.0048234   0.00336896]
filename : 3148, Label: 25, Prediction: [ 0.7579416   0.06294127  0.05151601]
filename : 3157, Label: 7, Prediction: [ 0.71934605  0.08952177  0.0651205 ]
filename : 3161, Label: 7, Prediction: [ 0.29848173  0.16740707  0.15422247]
filename : 3168, Label: 11, Prediction: [ 0.5577985   0.24617851  0.08154116]
filename : 3177, Label: 4, Prediction: [ 0.37412906  0.35613713  0.08889086]
filename : 3179, Label: 19, Prediction: [ 0.73816395  0.18543683  0.06080265]
filename : 3187, Label: 27, Prediction: [ 0.53386688  0.36558425  0.02939043]
filename : 3195, Label: 14, Prediction: [ 0.92013431  0.03944454  0.01136189]
filename : 3200, Label: 11, Prediction: [ 0.31997317  0.26443726  0.21123388]
filename : 321, Label: 26, Prediction: [ 0.37443146  0.30695823  0.13533309]
filename : 3218, Label: 19, Prediction: [ 0.77584898  0.14076017  0.02994841]
filename : 3232, Label: 23, Prediction: [  9.98440802e-01   7.35444715e-04   4.23156656e-04]
filename : 3240, Label: 15, Prediction: [ 0.97211152  0.02183353  0.00152602]
filename : 3242, Label: 23, Prediction: [ 0.66528034  0.18173189  0.10522144]
filename : 3248, Label: 7, Prediction: [ 0.96735662  0.00908578  0.0078951 ]
filename : 3256, Label: 5, Prediction: [ 0.60152626  0.16566263  0.08321696]
filename : 3262, Label: 14, Prediction: [ 0.26472038  0.21699731  0.17271765]
filename : 3276, Label: 16, Prediction: [ 0.53837591  0.10375831  0.0897922 ]
filename : 3283, Label: 7, Prediction: [ 0.82358307  0.07479018  0.03026812]
filename : 3291, Label: 14, Prediction: [ 0.74329638  0.10115537  0.03643186]
filename : 3300, Label: 13, Prediction: [  9.97896671e-01   3.41896113e-04   3.02460685e-04]
filename : 3301, Label: 19, Prediction: [ 0.79758513  0.11073124  0.04099965]
filename : 3310, Label: 29, Prediction: [  9.98850226e-01   6.26282825e-04   1.03672282e-04]
filename : 3322, Label: 8, Prediction: [ 0.31485006  0.28697765  0.15026473]
filename : 3331, Label: 29, Prediction: [ 0.71987569  0.15471125  0.04762938]
filename : 3348, Label: 17, Prediction: [ 0.36742523  0.31309482  0.10280658]
filename : 3352, Label: 3, Prediction: [ 0.92741412  0.03680888  0.00713919]
filename : 3364, Label: 15, Prediction: [ 0.38635924  0.12139664  0.06933827]
filename : 3377, Label: 10, Prediction: [ 0.26319954  0.24955064  0.17417781]
filename : 3380, Label: 1, Prediction: [ 0.28855491  0.23445308  0.15754759]
filename : 339, Label: 19, Prediction: [ 0.86255282  0.09218115  0.01881639]
filename : 3395, Label: 19, Prediction: [ 0.56641376  0.14448531  0.10922518]
filename : 3410, Label: 19, Prediction: [ 0.49039188  0.21309276  0.04662702]
filename : 3416, Label: 19, Prediction: [ 0.39299509  0.22384569  0.08719745]
filename : 3421, Label: 5, Prediction: [ 0.36991224  0.21861498  0.13230637]
filename : 3433, Label: 4, Prediction: [ 0.67030185  0.0932953   0.0915214 ]
filename : 344, Label: 27, Prediction: [  9.89805996e-01   9.08761378e-03   7.23588280e-04]
filename : 3440, Label: 12, Prediction: [ 0.16698927  0.16115069  0.15359038]
filename : 3448, Label: 16, Prediction: [ 0.22601061  0.17654927  0.17555968]
filename : 3454, Label: 7, Prediction: [ 0.91416556  0.01714573  0.01236002]
filename : 3462, Label: 25, Prediction: [ 0.63512987  0.11239108  0.07541979]
filename : 347, Label: 2, Prediction: [ 0.23810808  0.18482848  0.08200424]
filename : 3474, Label: 3, Prediction: [ 0.35040519  0.3357977   0.11107229]
filename : 3482, Label: 16, Prediction: [ 0.76977003  0.13467218  0.02236981]
filename : 3489, Label: 23, Prediction: [ 0.72192079  0.21297364  0.02036162]
filename : 3491, Label: 19, Prediction: [ 0.26364151  0.15856084  0.09389114]
filename : 350, Label: 2, Prediction: [ 0.93930417  0.0490789   0.00782266]
filename : 3506, Label: 16, Prediction: [ 0.86800683  0.03727702  0.02010058]
filename : 3519, Label: 29, Prediction: [ 0.50061309  0.30871037  0.05180035]
filename : 3523, Label: 16, Prediction: [ 0.69047457  0.19356635  0.03206912]
filename : 3535, Label: 4, Prediction: [ 0.61756641  0.18953684  0.05909683]
filename : 3547, Label: 19, Prediction: [ 0.96624291  0.01317052  0.0059637 ]
filename : 3551, Label: 3, Prediction: [ 0.19654226  0.18712318  0.13634455]
filename : 3553, Label: 14, Prediction: [ 0.76219648  0.0977839   0.04523824]
filename : 3561, Label: 12, Prediction: [ 0.57138771  0.13093358  0.04176865]
filename : 357, Label: 13, Prediction: [ 0.91154397  0.02752148  0.01407687]
filename : 3581, Label: 19, Prediction: [ 0.58681315  0.35210508  0.02078929]
filename : 3589, Label: 7, Prediction: [ 0.99238789  0.00304547  0.00214525]
filename : 3596, Label: 21, Prediction: [ 0.23614736  0.11979881  0.07915568]
filename : 3605, Label: 27, Prediction: [ 0.36680061  0.3400133   0.12275812]
filename : 3614, Label: 22, Prediction: [ 0.82012504  0.07081547  0.05062474]
filename : 3616, Label: 24, Prediction: [ 0.66915292  0.08663093  0.06415663]
filename : 3630, Label: 26, Prediction: [ 0.46752155  0.1897205   0.13792461]
filename : 3645, Label: 7, Prediction: [ 0.91910523  0.06349698  0.00647781]
filename : 3650, Label: 2, Prediction: [ 0.29474205  0.25972238  0.19692431]
filename : 3657, Label: 29, Prediction: [ 0.53888756  0.33264709  0.09393374]
filename : 3668, Label: 23, Prediction: [ 0.81450766  0.1086923   0.0366579 ]
filename : 3676, Label: 5, Prediction: [ 0.91136748  0.02893943  0.01950309]
filename : 3682, Label: 23, Prediction: [ 0.40851751  0.31319606  0.04935758]
filename : 3686, Label: 20, Prediction: [ 0.90734935  0.02359423  0.01766724]
filename : 3693, Label: 13, Prediction: [ 0.68426186  0.28894591  0.01370569]
filename : 3706, Label: 28, Prediction: [ 0.25065917  0.20492113  0.17870928]
filename : 3714, Label: 22, Prediction: [ 0.6783753   0.12368659  0.07559082]
filename : 3727, Label: 17, Prediction: [  9.65861678e-01   3.36511880e-02   1.90905310e-04]
filename : 3733, Label: 4, Prediction: [ 0.58725053  0.13324562  0.07058395]
