filename : 10, Label: 1, Prediction: [ 0.71398312  0.1409184   0.07684552]
filename : 1501, Label: 7, Prediction: [ 0.9847647   0.01006741  0.00170517]
filename : 1511, Label: 19, Prediction: [ 0.5591284   0.34994     0.04583674]
filename : 1521, Label: 13, Prediction: [ 0.88404262  0.10930888  0.0054535 ]
filename : 1526, Label: 5, Prediction: [ 0.98747265  0.0048028   0.00402237]
filename : 1533, Label: 12, Prediction: [ 0.32723486  0.22066386  0.16321011]
filename : 1539, Label: 23, Prediction: [ 0.56857324  0.29417554  0.10433141]
filename : 1548, Label: 9, Prediction: [ 0.9573133  0.0236096  0.0054427]
filename : 1561, Label: 27, Prediction: [  9.99981642e-01   8.91465788e-06   8.88611339e-06]
filename : 157, Label: 19, Prediction: [ 0.52588582  0.20003796  0.19964281]
filename : 1575, Label: 6, Prediction: [ 0.40425795  0.25169536  0.13369828]
filename : 1583, Label: 12, Prediction: [ 0.83346677  0.04210082  0.0181212 ]
filename : 1585, Label: 7, Prediction: [ 0.91497999  0.05655852  0.02001905]
filename : 1592, Label: 22, Prediction: [ 0.8456195   0.05788367  0.05323679]
filename : 16, Label: 13, Prediction: [  8.58010411e-01   1.41087174e-01   4.83211828e-04]
filename : 1603, Label: 12, Prediction: [ 0.66907531  0.25748211  0.01650761]
filename : 1610, Label: 19, Prediction: [ 0.46510264  0.31724438  0.12564623]
filename : 1615, Label: 28, Prediction: [ 0.49643642  0.19866376  0.11430625]
filename : 1622, Label: 3, Prediction: [ 0.59570229  0.34258786  0.04138483]
filename : 163, Label: 8, Prediction: [ 0.89059907  0.02766945  0.02173995]
filename : 1633, Label: 7, Prediction: [ 0.60943824  0.11689655  0.1086355 ]
filename : 164, Label: 13, Prediction: [ 0.98502111  0.0069549   0.00462552]
filename : 1645, Label: 17, Prediction: [ 0.75862998  0.20922674  0.01144445]
filename : 1660, Label: 13, Prediction: [ 0.55563205  0.32649773  0.02100111]
filename : 1666, Label: 16, Prediction: [ 0.7983737   0.04992733  0.04923822]
filename : 1672, Label: 10, Prediction: [ 0.53138173  0.36178407  0.05936288]
filename : 168, Label: 4, Prediction: [ 0.50445706  0.21709013  0.21647172]
filename : 1689, Label: 24, Prediction: [ 0.99596077  0.0013367   0.00102527]
filename : 1691, Label: 11, Prediction: [ 0.89642751  0.04662403  0.01598387]
filename : 170, Label: 27, Prediction: [  9.99992251e-01   5.50064351e-06   1.79593565e-06]
filename : 1704, Label: 22, Prediction: [ 0.89622778  0.06851599  0.0175826 ]
filename : 1712, Label: 6, Prediction: [ 0.95931572  0.01384678  0.00593903]
filename : 1721, Label: 16, Prediction: [ 0.90233094  0.05298533  0.01965687]
filename : 173, Label: 7, Prediction: [ 0.61111122  0.15470295  0.07103469]
filename : 1740, Label: 3, Prediction: [ 0.32037836  0.20647992  0.15816274]
filename : 1754, Label: 5, Prediction: [ 0.54717398  0.1963923   0.08608235]
filename : 1759, Label: 9, Prediction: [ 0.35783574  0.26617599  0.13692504]
filename : 1766, Label: 27, Prediction: [  9.99953151e-01   3.66159693e-05   7.99263398e-06]
filename : 1777, Label: 1, Prediction: [ 0.77506232  0.16254883  0.0169298 ]
filename : 1784, Label: 3, Prediction: [ 0.71475637  0.26189309  0.00937517]
filename : 1790, Label: 10, Prediction: [ 0.97478956  0.01838332  0.00302364]
filename : 18, Label: 28, Prediction: [ 0.46830872  0.28824356  0.09897985]
filename : 1804, Label: 26, Prediction: [  9.99206245e-01   2.59624620e-04   1.58425726e-04]
filename : 1815, Label: 23, Prediction: [ 0.42749709  0.32822683  0.08350124]
filename : 1817, Label: 29, Prediction: [ 0.85880661  0.10451361  0.01062462]
filename : 1826, Label: 21, Prediction: [ 0.77705073  0.08558555  0.03961178]
filename : 1834, Label: 1, Prediction: [ 0.90852237  0.05392753  0.00881633]
filename : 1842, Label: 10, Prediction: [ 0.3793703   0.2566317   0.21733354]
filename : 1848, Label: 14, Prediction: [ 0.73794669  0.07177642  0.0691146 ]
filename : 1855, Label: 13, Prediction: [  9.88647759e-01   9.67009272e-03   9.16397548e-04]
filename : 1864, Label: 5, Prediction: [ 0.84409475  0.08632373  0.02039603]
filename : 1879, Label: 12, Prediction: [ 0.47660607  0.36170435  0.13057363]
filename : 1881, Label: 1, Prediction: [ 0.40560266  0.16347614  0.15787922]
filename : 1892, Label: 26, Prediction: [ 0.23409435  0.20390774  0.15205581]
filename : 1900, Label: 27, Prediction: [  9.99998569e-01   4.75891284e-07   4.49988534e-07]
filename : 1908, Label: 8, Prediction: [ 0.95959622  0.01423611  0.01069163]
filename : 1923, Label: 19, Prediction: [ 0.51803434  0.17270628  0.08080079]
filename : 1929, Label: 25, Prediction: [ 0.26426512  0.16941528  0.12070346]
filename : 1939, Label: 5, Prediction: [ 0.94700539  0.02277583  0.01052769]
filename : 1945, Label: 2, Prediction: [ 0.91689771  0.04479448  0.00847393]
filename : 1948, Label: 24, Prediction: [ 0.76594347  0.17065635  0.03559271]
filename : 1960, Label: 29, Prediction: [  9.98501897e-01   3.90362780e-04   3.59597238e-04]
filename : 1969, Label: 13, Prediction: [ 0.9161815   0.04445163  0.01897537]
filename : 1979, Label: 9, Prediction: [ 0.56103569  0.2812742   0.04999641]
filename : 1988, Label: 13, Prediction: [ 0.50335336  0.30990475  0.14771447]
filename : 1997, Label: 11, Prediction: [ 0.87996882  0.08446529  0.01799994]
filename : 2001, Label: 25, Prediction: [ 0.49892211  0.22123361  0.11009157]
filename : 2013, Label: 22, Prediction: [ 0.99342728  0.0022135   0.00198335]
filename : 2014, Label: 29, Prediction: [ 0.4112983   0.2270195   0.10073136]
filename : 2021, Label: 6, Prediction: [ 0.50448048  0.46797043  0.01136183]
filename : 2029, Label: 22, Prediction: [ 0.88890123  0.09932955  0.00652041]
filename : 2038, Label: 2, Prediction: [ 0.76015478  0.10902347  0.07702695]
filename : 2046, Label: 4, Prediction: [ 0.65382266  0.22846282  0.08107745]
filename : 2054, Label: 7, Prediction: [ 0.42498046  0.17657527  0.10461058]
filename : 2066, Label: 29, Prediction: [  7.41467595e-01   2.57511467e-01   2.23918105e-04]
filename : 2076, Label: 14, Prediction: [ 0.92313886  0.06163068  0.00603968]
filename : 2078, Label: 8, Prediction: [ 0.52957731  0.11995412  0.0897761 ]
filename : 2091, Label: 7, Prediction: [ 0.33622849  0.27900526  0.24094674]
filename : 21, Label: 21, Prediction: [ 0.29794824  0.267602    0.14699142]
filename : 2108, Label: 11, Prediction: [ 0.61679542  0.16197845  0.0763143 ]
filename : 2117, Label: 10, Prediction: [ 0.58923894  0.32066011  0.05360358]
filename : 2131, Label: 16, Prediction: [ 0.96362609  0.02282299  0.00481667]
filename : 2138, Label: 8, Prediction: [ 0.68209946  0.21723391  0.07372457]
filename : 2149, Label: 5, Prediction: [ 0.34384999  0.16203313  0.12146934]
filename : 2151, Label: 19, Prediction: [ 0.34300745  0.13491453  0.11330289]
filename : 2158, Label: 22, Prediction: [  9.99308228e-01   1.41188168e-04   1.36240691e-04]
filename : 2167, Label: 7, Prediction: [ 0.52068168  0.24020113  0.10502241]
filename : 2174, Label: 11, Prediction: [ 0.88972664  0.03252358  0.02567516]
filename : 2183, Label: 29, Prediction: [ 0.82323635  0.10275475  0.04086642]
filename : 2191, Label: 13, Prediction: [  9.98532176e-01   1.26411312e-03   1.60596363e-04]
filename : 2197, Label: 1, Prediction: [ 0.78972203  0.09293532  0.05083981]
filename : 2201, Label: 11, Prediction: [ 0.69143885  0.13386135  0.13005088]
filename : 2202, Label: 22, Prediction: [ 0.52552938  0.35223237  0.08690609]
filename : 221, Label: 10, Prediction: [ 0.90984559  0.05317438  0.03358898]
filename : 2218, Label: 8, Prediction: [ 0.28920195  0.28443241  0.13854614]
filename : 2228, Label: 19, Prediction: [ 0.8767063   0.05743645  0.01804302]
filename : 2238, Label: 8, Prediction: [  9.99696851e-01   1.37171664e-04   8.30578501e-05]
filename : 2248, Label: 21, Prediction: [ 0.49017271  0.09500192  0.09251453]
filename : 2256, Label: 26, Prediction: [ 0.979146    0.01181455  0.00297162]
filename : 2265, Label: 19, Prediction: [ 0.50200814  0.48991507  0.00212835]
filename : 2266, Label: 9, Prediction: [ 0.95964664  0.02063715  0.00814681]
filename : 2278, Label: 9, Prediction: [ 0.97832119  0.00615704  0.00360184]
filename : 2287, Label: 17, Prediction: [  9.97249305e-01   2.57982966e-03   1.43851008e-04]
filename : 2297, Label: 16, Prediction: [ 0.42191583  0.18107851  0.11344045]
filename : 2300, Label: 18, Prediction: [ 0.59291208  0.15309231  0.15249035]
filename : 2312, Label: 11, Prediction: [ 0.75154448  0.10816348  0.07973724]
filename : 2327, Label: 12, Prediction: [ 0.27038053  0.26875097  0.24384192]
filename : 2336, Label: 16, Prediction: [ 0.48079637  0.29372171  0.09409495]
filename : 2337, Label: 3, Prediction: [ 0.85975903  0.06259985  0.05172702]
filename : 2344, Label: 2, Prediction: [ 0.53858536  0.2009491   0.04559971]
filename : 2351, Label: 18, Prediction: [ 0.89940143  0.06434219  0.02151634]
filename : 2364, Label: 14, Prediction: [ 0.63530409  0.3562896   0.00216702]
filename : 2371, Label: 8, Prediction: [ 0.60618168  0.1589707   0.15437527]
filename : 2380, Label: 13, Prediction: [ 0.87975174  0.04926578  0.022304  ]
filename : 2389, Label: 19, Prediction: [ 0.3592791   0.24339941  0.17284662]
filename : 2402, Label: 25, Prediction: [ 0.40169066  0.19415233  0.09522942]
filename : 2403, Label: 29, Prediction: [ 0.98831278  0.00595629  0.00272152]
filename : 2414, Label: 13, Prediction: [ 0.96031326  0.02461914  0.01117236]
filename : 242, Label: 15, Prediction: [ 0.75886291  0.08663065  0.04512058]
filename : 2433, Label: 10, Prediction: [ 0.87240249  0.11222584  0.00697536]
filename : 2446, Label: 19, Prediction: [ 0.79821473  0.13240741  0.02195443]
filename : 2453, Label: 10, Prediction: [ 0.96142334  0.02863029  0.00706915]
filename : 246, Label: 29, Prediction: [ 0.62903458  0.3389968   0.01748417]
filename : 2467, Label: 22, Prediction: [ 0.9770596   0.00820399  0.00379642]
filename : 2470, Label: 13, Prediction: [ 0.50792044  0.31215793  0.15307066]
filename : 2477, Label: 12, Prediction: [ 0.72318846  0.09010433  0.03325988]
filename : 2484, Label: 27, Prediction: [ 0.97526306  0.0148013   0.0050018 ]
filename : 2499, Label: 8, Prediction: [  9.97429669e-01   1.37731875e-03   3.88583954e-04]
filename : 251, Label: 12, Prediction: [ 0.87420756  0.10759565  0.0115172 ]
filename : 2515, Label: 2, Prediction: [  9.97907996e-01   6.62429607e-04   6.31482922e-04]
filename : 2523, Label: 28, Prediction: [ 0.78587168  0.10389224  0.04568052]
filename : 2541, Label: 9, Prediction: [ 0.5468322   0.44029376  0.00328912]
filename : 2542, Label: 29, Prediction: [ 0.89295399  0.05406475  0.04429413]
filename : 2553, Label: 24, Prediction: [ 0.46296519  0.24273705  0.14025219]
filename : 2569, Label: 6, Prediction: [ 0.97490758  0.01015407  0.00683008]
filename : 2574, Label: 3, Prediction: [ 0.70421594  0.14615121  0.06361791]
filename : 2580, Label: 8, Prediction: [ 0.68543214  0.1073169   0.06028818]
filename : 2585, Label: 1, Prediction: [ 0.97090828  0.02458717  0.0024926 ]
filename : 26, Label: 13, Prediction: [ 0.92023891  0.03955257  0.01743263]
filename : 2607, Label: 7, Prediction: [ 0.49985009  0.18633881  0.14881599]
filename : 2608, Label: 6, Prediction: [ 0.65720683  0.17737593  0.04615079]
filename : 2618, Label: 17, Prediction: [ 0.82394898  0.08662042  0.04574416]
filename : 2630, Label: 10, Prediction: [ 0.99540848  0.00105921  0.00099677]
filename : 264, Label: 3, Prediction: [ 0.60096097  0.09219238  0.05103762]
filename : 2650, Label: 25, Prediction: [ 0.48997465  0.10996266  0.09792265]
filename : 266, Label: 22, Prediction: [ 0.31312504  0.19281602  0.13687277]
filename : 2668, Label: 7, Prediction: [  9.88995433e-01   8.09291843e-03   7.89527781e-04]
filename : 2675, Label: 11, Prediction: [ 0.94982064  0.02554078  0.00689583]
filename : 2676, Label: 15, Prediction: [ 0.58304667  0.30130476  0.05119256]
filename : 2681, Label: 6, Prediction: [ 0.32792342  0.16895172  0.08560555]
filename : 2686, Label: 12, Prediction: [ 0.4344756   0.24919161  0.09301841]
filename : 2699, Label: 4, Prediction: [ 0.43011299  0.16377173  0.07328398]
filename : 2711, Label: 19, Prediction: [ 0.96093678  0.02300464  0.00855749]
filename : 2726, Label: 8, Prediction: [ 0.8432098  0.1138577  0.0259659]
filename : 2734, Label: 12, Prediction: [ 0.26974842  0.23594314  0.14344001]
filename : 274, Label: 16, Prediction: [ 0.61350566  0.23332885  0.04932038]
filename : 2740, Label: 26, Prediction: [ 0.47877577  0.33711472  0.11848705]
filename : 2750, Label: 24, Prediction: [ 0.92052579  0.04305978  0.01739077]
filename : 2765, Label: 8, Prediction: [ 0.78139156  0.17102854  0.02353971]
filename : 2773, Label: 14, Prediction: [ 0.90080374  0.08477334  0.00634974]
filename : 2789, Label: 19, Prediction: [ 0.54695779  0.27508414  0.11314481]
filename : 2797, Label: 22, Prediction: [ 0.94040632  0.03145098  0.00492843]
filename : 2805, Label: 25, Prediction: [ 0.85880578  0.11647408  0.00676188]
filename : 2813, Label: 5, Prediction: [ 0.40810797  0.28140688  0.09520982]
filename : 2815, Label: 18, Prediction: [ 0.74174237  0.1995057   0.01901966]
filename : 2822, Label: 21, Prediction: [ 0.45934862  0.22599868  0.22340544]
filename : 2830, Label: 27, Prediction: [ 0.48242196  0.09954053  0.0898118 ]
filename : 2838, Label: 2, Prediction: [ 0.62148815  0.1969115   0.10742628]
filename : 2845, Label: 21, Prediction: [ 0.40402478  0.18413506  0.17542595]
filename : 2858, Label: 22, Prediction: [ 0.64162832  0.32067919  0.0191467 ]
filename : 2869, Label: 9, Prediction: [ 0.94122243  0.02640423  0.00989738]
filename : 2877, Label: 3, Prediction: [ 0.28393897  0.230767    0.16514489]
filename : 2878, Label: 25, Prediction: [ 0.40703496  0.26826006  0.09004426]
filename : 2894, Label: 10, Prediction: [ 0.57730663  0.33583471  0.02796457]
filename : 2902, Label: 17, Prediction: [ 0.96528995  0.01461864  0.01082157]
filename : 2912, Label: 13, Prediction: [ 0.99054611  0.00383649  0.00279016]
filename : 292, Label: 28, Prediction: [ 0.85962802  0.06417942  0.06353236]
filename : 293, Label: 27, Prediction: [  9.99990821e-01   5.55424549e-06   3.15543457e-06]
filename : 2940, Label: 8, Prediction: [ 0.41941652  0.27240464  0.11150038]
filename : 2946, Label: 14, Prediction: [ 0.59751666  0.07967959  0.05901475]
filename : 2948, Label: 3, Prediction: [ 0.49691781  0.27735183  0.05325033]
filename : 2956, Label: 21, Prediction: [ 0.98682761  0.00376289  0.00266427]
filename : 2964, Label: 28, Prediction: [ 0.81313246  0.06529012  0.03632217]
filename : 2970, Label: 7, Prediction: [ 0.94147909  0.02009043  0.0114839 ]
filename : 2983, Label: 13, Prediction: [ 0.75887334  0.06474262  0.06260376]
filename : 2993, Label: 17, Prediction: [ 0.70483381  0.17015018  0.04309617]
filename : 3000, Label: 22, Prediction: [ 0.62523752  0.23232502  0.07724548]
filename : 3011, Label: 10, Prediction: [ 0.46366423  0.34297085  0.06792729]
filename : 3013, Label: 26, Prediction: [ 0.74934846  0.10158404  0.08976185]
filename : 3021, Label: 19, Prediction: [ 0.3964498   0.2437209   0.15236619]
filename : 3026, Label: 16, Prediction: [ 0.70253694  0.12189525  0.10668084]
filename : 3034, Label: 18, Prediction: [ 0.96438974  0.02409757  0.00276046]
filename : 3042, Label: 6, Prediction: [ 0.78209841  0.14015824  0.02343843]
filename : 305, Label: 18, Prediction: [ 0.92905676  0.03167722  0.02041093]
filename : 3059, Label: 11, Prediction: [ 0.27950987  0.27111053  0.15132155]
filename : 3063, Label: 3, Prediction: [ 0.46554089  0.11343876  0.08931495]
filename : 3064, Label: 21, Prediction: [ 0.25369591  0.24692775  0.20650297]
filename : 307, Label: 29, Prediction: [ 0.87422204  0.05009524  0.03411328]
filename : 3083, Label: 11, Prediction: [ 0.50913501  0.23501599  0.07860792]
filename : 3091, Label: 10, Prediction: [ 0.79411173  0.18347292  0.00927229]
filename : 31, Label: 10, Prediction: [ 0.85604906  0.09589777  0.02149867]
filename : 3108, Label: 23, Prediction: [ 0.67479748  0.0820146   0.03123225]
filename : 3119, Label: 21, Prediction: [ 0.73635375  0.09011589  0.06712283]
filename : 3125, Label: 19, Prediction: [ 0.73007751  0.13192773  0.04222834]
filename : 3126, Label: 17, Prediction: [ 0.93082654  0.03339519  0.01137515]
filename : 3132, Label: 23, Prediction: [ 0.68363577  0.23583397  0.03061144]
filename : 3139, Label: 2, Prediction: [  9.99888420e-01   2.18519108e-05   2.04161006e-05]
filename : 3148, Label: 25, Prediction: [ 0.5120607   0.43193844  0.02598693]
filename : 3157, Label: 8, Prediction: [ 0.96210271  0.02394973  0.00661919]
filename : 3161, Label: 6, Prediction: [ 0.26057944  0.16189033  0.15245667]
filename : 3168, Label: 16, Prediction: [ 0.72723019  0.22735895  0.01598318]
filename : 3177, Label: 22, Prediction: [ 0.55396861  0.40768501  0.01414519]
filename : 3179, Label: 19, Prediction: [ 0.78279567  0.18227081  0.01741998]
filename : 3187, Label: 17, Prediction: [ 0.9709807   0.02447117  0.00128353]
filename : 3195, Label: 14, Prediction: [ 0.88690919  0.10842715  0.00177301]
filename : 3200, Label: 2, Prediction: [ 0.41649503  0.29234928  0.14257699]
filename : 321, Label: 10, Prediction: [ 0.92493874  0.06313208  0.00481207]
filename : 3218, Label: 25, Prediction: [ 0.53979391  0.19219105  0.13461864]
filename : 3232, Label: 23, Prediction: [  9.99529243e-01   4.15169547e-04   3.17207559e-05]
filename : 3240, Label: 15, Prediction: [ 0.35692325  0.344879    0.11034222]
filename : 3242, Label: 23, Prediction: [ 0.99341559  0.0037111   0.00124613]
filename : 3248, Label: 6, Prediction: [ 0.63845605  0.15190151  0.0633852 ]
filename : 3256, Label: 5, Prediction: [ 0.83015037  0.04745112  0.03872792]
filename : 3262, Label: 7, Prediction: [ 0.79917955  0.08161709  0.02645868]
filename : 3276, Label: 16, Prediction: [ 0.56457829  0.14301114  0.09392904]
filename : 3283, Label: 7, Prediction: [ 0.97926325  0.01171902  0.00575737]
filename : 3291, Label: 22, Prediction: [ 0.52457726  0.25676864  0.09008253]
filename : 3300, Label: 13, Prediction: [ 0.98633611  0.00608066  0.00474262]
filename : 3301, Label: 19, Prediction: [ 0.44381306  0.1553914   0.13178796]
filename : 3310, Label: 29, Prediction: [  9.98556554e-01   3.95472889e-04   3.55812546e-04]
filename : 3322, Label: 8, Prediction: [ 0.49616647  0.30567884  0.09202241]
filename : 3331, Label: 29, Prediction: [ 0.34552583  0.22527488  0.22485544]
filename : 3348, Label: 19, Prediction: [ 0.46965924  0.26072085  0.12393638]
filename : 3352, Label: 10, Prediction: [ 0.82581383  0.03388927  0.02865907]
filename : 3364, Label: 22, Prediction: [ 0.40421611  0.22186293  0.12183193]
filename : 3377, Label: 17, Prediction: [ 0.39640838  0.15826732  0.13362958]
filename : 3380, Label: 1, Prediction: [ 0.42550978  0.29114848  0.07695729]
filename : 339, Label: 25, Prediction: [ 0.67725134  0.10933233  0.08156064]
filename : 3395, Label: 19, Prediction: [ 0.84587967  0.11713786  0.01172232]
filename : 3410, Label: 19, Prediction: [ 0.47348619  0.22634964  0.20803587]
filename : 3416, Label: 6, Prediction: [ 0.60872507  0.10952439  0.09439572]
filename : 3421, Label: 19, Prediction: [ 0.38379198  0.32104012  0.12041716]
filename : 3433, Label: 4, Prediction: [ 0.94886529  0.02033027  0.00927865]
filename : 344, Label: 27, Prediction: [  9.99992490e-01   4.94082406e-06   1.15516048e-06]
filename : 3440, Label: 28, Prediction: [ 0.51756346  0.26943111  0.04439745]
filename : 3448, Label: 16, Prediction: [ 0.78998518  0.05827155  0.04680737]
filename : 3454, Label: 7, Prediction: [ 0.57429111  0.25450769  0.06844679]
filename : 3462, Label: 16, Prediction: [ 0.39159343  0.35022876  0.08653925]
filename : 347, Label: 2, Prediction: [ 0.49495953  0.39699659  0.04213195]
filename : 3474, Label: 3, Prediction: [ 0.75476271  0.17339103  0.02307034]
filename : 3482, Label: 1, Prediction: [ 0.68439817  0.29607719  0.00949977]
filename : 3489, Label: 23, Prediction: [ 0.65123397  0.31171468  0.01127314]
filename : 3491, Label: 14, Prediction: [ 0.22370316  0.14207618  0.13649863]
filename : 350, Label: 2, Prediction: [ 0.75635815  0.18435544  0.04184965]
filename : 3506, Label: 28, Prediction: [ 0.25781545  0.22797363  0.14026049]
filename : 3519, Label: 18, Prediction: [ 0.37267578  0.28858602  0.21152373]
filename : 3523, Label: 17, Prediction: [ 0.48676348  0.23177181  0.16826865]
filename : 3535, Label: 5, Prediction: [ 0.74054277  0.23713836  0.00826771]
filename : 3547, Label: 25, Prediction: [ 0.84799337  0.06711187  0.02154672]
filename : 3551, Label: 7, Prediction: [ 0.58737385  0.18412773  0.07875706]
filename : 3553, Label: 14, Prediction: [ 0.89232194  0.06473818  0.01736559]
filename : 3561, Label: 21, Prediction: [ 0.86071175  0.08338323  0.02218867]
filename : 357, Label: 29, Prediction: [ 0.99104756  0.00435391  0.0018904 ]
filename : 3581, Label: 19, Prediction: [ 0.82665676  0.09018036  0.05836725]
filename : 3589, Label: 7, Prediction: [ 0.63230836  0.35045692  0.01173074]
filename : 3596, Label: 8, Prediction: [ 0.98501498  0.00411874  0.00343534]
filename : 3605, Label: 25, Prediction: [ 0.83748817  0.03670079  0.02816056]
filename : 3614, Label: 22, Prediction: [ 0.99309689  0.00156779  0.00105856]
filename : 3616, Label: 5, Prediction: [ 0.24374945  0.16506433  0.1471425 ]
filename : 3630, Label: 10, Prediction: [ 0.36046621  0.29591218  0.09681469]
filename : 3645, Label: 16, Prediction: [ 0.97589749  0.01180813  0.00318635]
filename : 3650, Label: 9, Prediction: [ 0.97772479  0.00361772  0.00340758]
filename : 3657, Label: 29, Prediction: [ 0.53762674  0.24153847  0.11108831]
filename : 3668, Label: 23, Prediction: [ 0.74670225  0.15852259  0.03180264]
filename : 3676, Label: 5, Prediction: [ 0.76332486  0.1932119   0.01568794]
filename : 3682, Label: 4, Prediction: [ 0.26770759  0.26236394  0.10966027]
filename : 3686, Label: 24, Prediction: [ 0.30064514  0.23363608  0.20467807]
filename : 3693, Label: 12, Prediction: [ 0.40975913  0.29025209  0.26748544]
filename : 3706, Label: 27, Prediction: [ 0.98890734  0.00379374  0.00232163]
filename : 3714, Label: 22, Prediction: [ 0.95807165  0.0243414   0.00472779]
filename : 3727, Label: 17, Prediction: [  9.81409073e-01   1.84421968e-02   9.42641418e-05]
filename : 3733, Label: 4, Prediction: [ 0.57308191  0.19711913  0.09774946]
filename : 3742, Label: 23, Prediction: [ 0.63380408  0.23301144  0.03021411]
