filename : 10, Label: 23, Prediction: [ 0.60416305  0.22545815  0.09385873]
filename : 1262, Label: 19, Prediction: [  8.03346872e-01   1.94367632e-01   7.54865585e-04]
filename : 1271, Label: 27, Prediction: [ 0.69972348  0.08063386  0.07011102]
filename : 1284, Label: 19, Prediction: [ 0.69032431  0.06775615  0.06098638]
filename : 1291, Label: 13, Prediction: [  9.94572580e-01   3.33410851e-03   6.96262403e-04]
filename : 1309, Label: 11, Prediction: [ 0.9234373   0.03746799  0.0127118 ]
filename : 1316, Label: 21, Prediction: [ 0.42742291  0.31024674  0.24945162]
filename : 1321, Label: 26, Prediction: [ 0.86616278  0.07972517  0.03245332]
filename : 1327, Label: 8, Prediction: [ 0.50895524  0.16667192  0.09435973]
filename : 1340, Label: 14, Prediction: [ 0.85321319  0.08855407  0.02292157]
filename : 1350, Label: 8, Prediction: [ 0.98822814  0.00622009  0.00301098]
filename : 1363, Label: 24, Prediction: [ 0.66496909  0.32622212  0.00383281]
filename : 1371, Label: 19, Prediction: [ 0.48496825  0.30696049  0.094543  ]
filename : 1379, Label: 19, Prediction: [ 0.96077311  0.02459259  0.00525906]
filename : 1386, Label: 10, Prediction: [  9.53741312e-01   4.36140373e-02   7.50218460e-04]
filename : 1393, Label: 24, Prediction: [ 0.97278816  0.02340864  0.00129018]
filename : 1396, Label: 20, Prediction: [ 0.72016603  0.23409648  0.03786895]
filename : 1401, Label: 14, Prediction: [ 0.98507392  0.00995488  0.00275082]
filename : 141, Label: 20, Prediction: [  9.99677420e-01   7.93466679e-05   7.74287400e-05]
filename : 1420, Label: 7, Prediction: [ 0.93593985  0.02611274  0.02214648]
filename : 1428, Label: 2, Prediction: [ 0.9518947   0.04475586  0.00112227]
filename : 1436, Label: 29, Prediction: [ 0.76323682  0.04098886  0.03865454]
filename : 1449, Label: 18, Prediction: [ 0.70714962  0.07236251  0.06470522]
filename : 1455, Label: 22, Prediction: [ 0.58833015  0.18820651  0.13348296]
filename : 1457, Label: 2, Prediction: [  9.98124897e-01   8.90824478e-04   2.74581864e-04]
filename : 1466, Label: 5, Prediction: [ 0.48950648  0.17199299  0.09482299]
filename : 1475, Label: 17, Prediction: [ 0.37622473  0.29722255  0.17939419]
filename : 1482, Label: 24, Prediction: [  9.97950017e-01   2.03122268e-03   9.35152548e-06]
filename : 1491, Label: 29, Prediction: [ 0.93346483  0.02606403  0.01253128]
filename : 1501, Label: 7, Prediction: [ 0.70463693  0.23484768  0.0478496 ]
filename : 1511, Label: 19, Prediction: [  9.93504763e-01   5.59001230e-03   4.00923425e-04]
filename : 1521, Label: 13, Prediction: [  9.99958992e-01   2.01185248e-05   9.78319531e-06]
filename : 1526, Label: 25, Prediction: [ 0.97816855  0.0124295   0.00492108]
filename : 1533, Label: 12, Prediction: [ 0.84628952  0.10147506  0.01407554]
filename : 1539, Label: 23, Prediction: [ 0.97056478  0.00943132  0.00562576]
filename : 1548, Label: 9, Prediction: [ 0.85276175  0.14274912  0.0009527 ]
filename : 1561, Label: 27, Prediction: [  1.00000000e+00   1.16579137e-08   2.23988028e-09]
filename : 157, Label: 11, Prediction: [ 0.79421896  0.14202118  0.01435547]
filename : 1575, Label: 6, Prediction: [ 0.74034572  0.08394598  0.06939119]
filename : 1583, Label: 14, Prediction: [ 0.50198168  0.37690115  0.06080275]
filename : 1585, Label: 7, Prediction: [ 0.83804399  0.13360436  0.01192039]
filename : 1592, Label: 25, Prediction: [ 0.73355103  0.15879218  0.03116694]
filename : 16, Label: 13, Prediction: [  9.80152965e-01   1.97664555e-02   5.48860335e-05]
filename : 1603, Label: 12, Prediction: [ 0.98314685  0.00577586  0.00539137]
filename : 1610, Label: 23, Prediction: [ 0.91352016  0.06087065  0.01470357]
filename : 1615, Label: 18, Prediction: [ 0.34040111  0.19539471  0.11539499]
filename : 1622, Label: 24, Prediction: [ 0.55067819  0.19452924  0.18258411]
filename : 163, Label: 12, Prediction: [ 0.53619355  0.27607578  0.12127022]
filename : 1633, Label: 16, Prediction: [ 0.65194815  0.14665949  0.04880445]
filename : 164, Label: 13, Prediction: [  9.99541998e-01   3.67029279e-04   6.25494940e-05]
filename : 1645, Label: 26, Prediction: [ 0.47162148  0.17250519  0.12805119]
filename : 1660, Label: 13, Prediction: [ 0.53726619  0.35098758  0.05395092]
filename : 1666, Label: 1, Prediction: [ 0.63506538  0.2811518   0.02798024]
filename : 1672, Label: 10, Prediction: [ 0.84954095  0.10835433  0.02462339]
filename : 168, Label: 4, Prediction: [ 0.62526256  0.07217846  0.06832993]
filename : 1689, Label: 24, Prediction: [ 0.99207616  0.00300893  0.00142629]
filename : 1691, Label: 11, Prediction: [ 0.64504796  0.22051068  0.04840881]
filename : 170, Label: 27, Prediction: [  1.00000000e+00   8.70063077e-10   5.95225536e-10]
filename : 1704, Label: 22, Prediction: [  9.97991920e-01   1.33530912e-03   2.77944753e-04]
filename : 1712, Label: 2, Prediction: [ 0.58296615  0.34903604  0.04706182]
filename : 1721, Label: 20, Prediction: [ 0.59244847  0.40335679  0.00258213]
filename : 173, Label: 7, Prediction: [ 0.64078903  0.13127576  0.11913072]
filename : 1740, Label: 2, Prediction: [ 0.44182143  0.21471642  0.08780757]
filename : 1754, Label: 11, Prediction: [ 0.69911265  0.23301183  0.03695253]
filename : 1759, Label: 6, Prediction: [ 0.75278753  0.15039112  0.02879607]
filename : 1766, Label: 27, Prediction: [  9.99999762e-01   2.18794298e-07   2.07704236e-08]
filename : 1777, Label: 1, Prediction: [ 0.74578261  0.2104183   0.01683466]
filename : 1784, Label: 3, Prediction: [ 0.99310148  0.00209947  0.00179532]
filename : 1790, Label: 10, Prediction: [ 0.95868522  0.02053549  0.01858251]
filename : 18, Label: 20, Prediction: [ 0.32893941  0.18574974  0.1669987 ]
filename : 1804, Label: 26, Prediction: [  9.99803483e-01   1.24479528e-04   2.05712604e-05]
filename : 1815, Label: 23, Prediction: [ 0.96832675  0.01261801  0.0072288 ]
filename : 1817, Label: 17, Prediction: [ 0.96378052  0.01907737  0.0071261 ]
filename : 1826, Label: 2, Prediction: [ 0.37644321  0.33799908  0.16939177]
filename : 1834, Label: 26, Prediction: [  9.99673486e-01   1.92185922e-04   4.06810068e-05]
filename : 1842, Label: 29, Prediction: [ 0.93538368  0.021748    0.01229214]
filename : 1848, Label: 14, Prediction: [  9.99653459e-01   1.90700855e-04   3.51692288e-05]
filename : 1855, Label: 13, Prediction: [ 0.9878521   0.007948    0.00208375]
filename : 1864, Label: 5, Prediction: [ 0.86274964  0.10088537  0.01254457]
filename : 1879, Label: 5, Prediction: [ 0.85078496  0.13021758  0.01721269]
filename : 1881, Label: 16, Prediction: [ 0.36002371  0.32262412  0.12050842]
filename : 1892, Label: 1, Prediction: [ 0.67845738  0.14569353  0.06953527]
filename : 1900, Label: 27, Prediction: [  1.00000000e+00   3.54861318e-09   1.59887756e-10]
filename : 1908, Label: 11, Prediction: [ 0.98120922  0.01337176  0.00205932]
filename : 1923, Label: 19, Prediction: [ 0.98329759  0.00562601  0.00158636]
filename : 1929, Label: 14, Prediction: [ 0.82930076  0.03571305  0.02792488]
filename : 1939, Label: 5, Prediction: [ 0.97478187  0.01927408  0.00267951]
filename : 1945, Label: 2, Prediction: [ 0.50115037  0.21165229  0.1319724 ]
filename : 1948, Label: 24, Prediction: [ 0.89176267  0.10257774  0.00442723]
filename : 1960, Label: 29, Prediction: [ 0.97751665  0.01756264  0.00191323]
filename : 1969, Label: 13, Prediction: [ 0.99434942  0.00264759  0.00225102]
filename : 1979, Label: 19, Prediction: [ 0.35102186  0.28903472  0.1349391 ]
filename : 1988, Label: 20, Prediction: [ 0.8738966   0.12085927  0.00153338]
filename : 1997, Label: 11, Prediction: [ 0.86627603  0.03841568  0.02001472]
filename : 2001, Label: 12, Prediction: [ 0.69175112  0.17031506  0.06868206]
filename : 2013, Label: 22, Prediction: [ 0.98596156  0.01163647  0.00112165]
filename : 2014, Label: 29, Prediction: [ 0.57049859  0.20693876  0.09843495]
filename : 2021, Label: 5, Prediction: [ 0.89696616  0.04981939  0.03567604]
filename : 2029, Label: 22, Prediction: [ 0.77978194  0.20178574  0.01213133]
filename : 2038, Label: 24, Prediction: [ 0.58189803  0.19191331  0.10548112]
filename : 2046, Label: 9, Prediction: [ 0.62376207  0.24695218  0.07057454]
filename : 2054, Label: 7, Prediction: [ 0.41625214  0.29346344  0.12087374]
filename : 2066, Label: 29, Prediction: [ 0.59817117  0.38151962  0.00777919]
filename : 2076, Label: 15, Prediction: [ 0.98295146  0.01160824  0.00384157]
filename : 2078, Label: 11, Prediction: [ 0.24206345  0.21361265  0.13979639]
filename : 2091, Label: 22, Prediction: [ 0.45201129  0.24235271  0.20599653]
filename : 21, Label: 21, Prediction: [ 0.97647548  0.01902851  0.00221719]
filename : 2108, Label: 11, Prediction: [ 0.96178895  0.00804001  0.00719404]
filename : 2117, Label: 11, Prediction: [ 0.60822445  0.25236169  0.03940544]
filename : 2131, Label: 14, Prediction: [ 0.95175469  0.04112605  0.00387864]
filename : 2138, Label: 17, Prediction: [ 0.69333923  0.25600529  0.04065665]
filename : 2149, Label: 25, Prediction: [  9.99471724e-01   3.93361202e-04   4.66722522e-05]
filename : 2151, Label: 19, Prediction: [ 0.92950273  0.04447695  0.00868761]
filename : 2158, Label: 22, Prediction: [  9.99997616e-01   1.39084364e-06   2.84539169e-07]
filename : 2167, Label: 16, Prediction: [ 0.70315641  0.11660973  0.05068992]
filename : 2174, Label: 11, Prediction: [ 0.72927713  0.09975207  0.06462923]
filename : 2183, Label: 29, Prediction: [ 0.99490488  0.00212322  0.00132644]
filename : 2191, Label: 13, Prediction: [  9.99993563e-01   5.91342678e-06   2.89353380e-07]
filename : 2197, Label: 1, Prediction: [ 0.90647161  0.04351813  0.02903221]
filename : 2201, Label: 11, Prediction: [ 0.97321194  0.02348258  0.00228942]
filename : 2202, Label: 2, Prediction: [ 0.95989537  0.0375533   0.00109369]
filename : 221, Label: 10, Prediction: [ 0.71531755  0.14213477  0.04992447]
filename : 2218, Label: 10, Prediction: [ 0.59806508  0.0714982   0.06824789]
filename : 2228, Label: 22, Prediction: [ 0.97680545  0.01978359  0.00183341]
filename : 2238, Label: 8, Prediction: [  9.98889983e-01   6.53426687e-04   2.84245878e-04]
filename : 2248, Label: 21, Prediction: [ 0.43225774  0.24589434  0.12639876]
filename : 2256, Label: 12, Prediction: [ 0.82732785  0.14796001  0.01280637]
filename : 2265, Label: 19, Prediction: [ 0.9381566   0.05065801  0.00569478]
filename : 2266, Label: 9, Prediction: [  9.99239326e-01   3.51585652e-04   9.99616605e-05]
filename : 2278, Label: 9, Prediction: [  7.74818778e-01   2.22291246e-01   5.80247666e-04]
filename : 2287, Label: 17, Prediction: [ 0.73792744  0.20725855  0.0508253 ]
filename : 2297, Label: 2, Prediction: [ 0.83799082  0.07393488  0.0511658 ]
filename : 2300, Label: 18, Prediction: [ 0.85248208  0.12718244  0.01300089]
filename : 2312, Label: 11, Prediction: [ 0.5842694   0.10493664  0.07258818]
filename : 2327, Label: 17, Prediction: [ 0.36236757  0.34162739  0.10625838]
filename : 2336, Label: 16, Prediction: [  9.99870658e-01   4.80218223e-05   2.16107892e-05]
filename : 2337, Label: 14, Prediction: [ 0.7783494   0.15662208  0.03119916]
filename : 2344, Label: 2, Prediction: [ 0.40013719  0.16531378  0.12781726]
filename : 2351, Label: 29, Prediction: [ 0.78568017  0.10241306  0.09491362]
filename : 2364, Label: 14, Prediction: [  9.93582308e-01   4.73455386e-03   7.13304151e-04]
filename : 2371, Label: 13, Prediction: [ 0.96755832  0.02416223  0.0038295 ]
filename : 2380, Label: 13, Prediction: [ 0.95747763  0.03064277  0.00791807]
filename : 2389, Label: 10, Prediction: [ 0.39618817  0.39002153  0.09698624]
filename : 2402, Label: 14, Prediction: [ 0.48656729  0.28948     0.1212087 ]
filename : 2403, Label: 29, Prediction: [  9.95538652e-01   3.56886350e-03   6.12872187e-04]
filename : 2414, Label: 13, Prediction: [  9.99875307e-01   1.17271979e-04   3.62674950e-06]
filename : 242, Label: 12, Prediction: [ 0.61470801  0.16521356  0.10945141]
filename : 2433, Label: 22, Prediction: [  9.84762192e-01   1.41518312e-02   6.87317690e-04]
filename : 2446, Label: 12, Prediction: [ 0.25437325  0.22322507  0.17616497]
filename : 2453, Label: 10, Prediction: [ 0.98882943  0.00714403  0.00243866]
filename : 246, Label: 29, Prediction: [ 0.78955203  0.09540167  0.05592796]
filename : 2467, Label: 5, Prediction: [ 0.48956698  0.13327578  0.11861658]
filename : 2470, Label: 13, Prediction: [  9.93064344e-01   6.90803630e-03   1.25204788e-05]
filename : 2477, Label: 12, Prediction: [ 0.95416379  0.01255956  0.0115568 ]
filename : 2484, Label: 27, Prediction: [  9.94017482e-01   5.23079839e-03   3.01438064e-04]
filename : 2499, Label: 8, Prediction: [  9.97090340e-01   2.83754454e-03   2.46467389e-05]
filename : 251, Label: 12, Prediction: [ 0.63245314  0.3183066   0.02627948]
filename : 2515, Label: 2, Prediction: [  9.99468505e-01   2.31070677e-04   9.64534629e-05]
filename : 2523, Label: 28, Prediction: [ 0.67443705  0.07893665  0.06265216]
filename : 2541, Label: 9, Prediction: [ 0.78845352  0.1058562   0.09551644]
filename : 2542, Label: 29, Prediction: [ 0.96391368  0.02383526  0.00453152]
filename : 2553, Label: 24, Prediction: [ 0.55844218  0.20490383  0.06740051]
filename : 2569, Label: 6, Prediction: [ 0.99167657  0.00358141  0.00274711]
filename : 2574, Label: 28, Prediction: [ 0.91495794  0.04959978  0.01815223]
filename : 2580, Label: 12, Prediction: [ 0.68811083  0.16636403  0.09963939]
filename : 2585, Label: 1, Prediction: [ 0.96623534  0.02692283  0.00312081]
filename : 26, Label: 13, Prediction: [ 0.93948627  0.054094    0.00613914]
filename : 2607, Label: 7, Prediction: [ 0.44602448  0.3472099   0.10349061]
filename : 2608, Label: 6, Prediction: [ 0.72848397  0.22035185  0.01362112]
filename : 2618, Label: 29, Prediction: [ 0.83354282  0.16118748  0.00322575]
filename : 2630, Label: 9, Prediction: [ 0.78613019  0.06533334  0.04624127]
filename : 264, Label: 21, Prediction: [ 0.23242469  0.23193638  0.16813359]
filename : 2650, Label: 25, Prediction: [ 0.49946597  0.29455695  0.11560789]
filename : 266, Label: 25, Prediction: [ 0.42114246  0.24607238  0.20075479]
filename : 2668, Label: 7, Prediction: [ 0.95527303  0.01076985  0.00824936]
filename : 2675, Label: 11, Prediction: [  9.96845901e-01   2.31219572e-03   1.54542970e-04]
filename : 2676, Label: 15, Prediction: [ 0.99442756  0.00235243  0.00108122]
filename : 2681, Label: 6, Prediction: [ 0.56897342  0.18966208  0.07525633]
filename : 2686, Label: 12, Prediction: [ 0.86114174  0.10740779  0.01364184]
filename : 2699, Label: 4, Prediction: [ 0.82055223  0.0881535   0.0301629 ]
filename : 2711, Label: 19, Prediction: [ 0.65166169  0.24551566  0.05972025]
filename : 2726, Label: 3, Prediction: [ 0.48115581  0.17561392  0.12459464]
filename : 2734, Label: 6, Prediction: [ 0.58598232  0.19314015  0.10251388]
filename : 274, Label: 17, Prediction: [ 0.88160664  0.04196334  0.01707731]
filename : 2740, Label: 29, Prediction: [ 0.96705562  0.01932207  0.00607914]
filename : 2750, Label: 24, Prediction: [  9.99785244e-01   1.65769641e-04   4.10301182e-05]
filename : 2765, Label: 8, Prediction: [ 0.68548828  0.27920866  0.02900657]
filename : 2773, Label: 14, Prediction: [ 0.99186057  0.00321744  0.00207746]
filename : 2789, Label: 18, Prediction: [ 0.47953755  0.21897748  0.14101745]
filename : 2797, Label: 22, Prediction: [ 0.57561064  0.23125282  0.09827364]
filename : 2805, Label: 25, Prediction: [ 0.90132368  0.07537365  0.01661623]
filename : 2813, Label: 12, Prediction: [ 0.36842805  0.14054601  0.13825603]
filename : 2815, Label: 29, Prediction: [ 0.94310874  0.04678552  0.00519113]
filename : 2822, Label: 11, Prediction: [ 0.77527612  0.20264612  0.0187956 ]
filename : 2830, Label: 27, Prediction: [ 0.99377644  0.00261227  0.0014041 ]
filename : 2838, Label: 2, Prediction: [ 0.87392724  0.03424625  0.03290482]
filename : 2845, Label: 21, Prediction: [ 0.97540557  0.01479679  0.00388988]
filename : 2858, Label: 22, Prediction: [ 0.48077899  0.46885628  0.01918302]
filename : 2869, Label: 6, Prediction: [ 0.5321812   0.33973548  0.02350057]
filename : 2877, Label: 9, Prediction: [ 0.4743273   0.44050789  0.06056015]
filename : 2878, Label: 27, Prediction: [ 0.61853439  0.17966002  0.10023946]
filename : 2894, Label: 22, Prediction: [ 0.55194443  0.24507043  0.11974028]
filename : 2902, Label: 1, Prediction: [ 0.42689335  0.17887174  0.15896972]
filename : 2912, Label: 13, Prediction: [  9.99985337e-01   1.24202543e-05   1.17933735e-06]
filename : 292, Label: 28, Prediction: [ 0.80428725  0.07165684  0.07042854]
filename : 293, Label: 27, Prediction: [  9.99999046e-01   1.00735099e-06   3.95392341e-09]
filename : 2940, Label: 15, Prediction: [ 0.62413973  0.16078278  0.06903408]
filename : 2946, Label: 12, Prediction: [ 0.47139129  0.17333551  0.08800093]
filename : 2948, Label: 3, Prediction: [ 0.97138083  0.01428578  0.0060385 ]
filename : 2956, Label: 25, Prediction: [ 0.98200536  0.00600407  0.00359276]
filename : 2964, Label: 28, Prediction: [ 0.4395279   0.30121043  0.05794846]
filename : 2970, Label: 14, Prediction: [ 0.2525427   0.25018322  0.21242222]
filename : 2983, Label: 13, Prediction: [ 0.91385084  0.023546    0.02338482]
filename : 2993, Label: 22, Prediction: [ 0.36148041  0.31482199  0.17919035]
filename : 3000, Label: 3, Prediction: [ 0.93788391  0.04986552  0.00735409]
filename : 3011, Label: 17, Prediction: [ 0.3457095   0.21266647  0.16097881]
filename : 3013, Label: 27, Prediction: [ 0.88495612  0.08475131  0.0240981 ]
filename : 3021, Label: 12, Prediction: [ 0.30891928  0.2631309   0.18256882]
filename : 3026, Label: 11, Prediction: [ 0.36942488  0.30279735  0.17908211]
filename : 3034, Label: 29, Prediction: [ 0.49136347  0.4532547   0.03509601]
filename : 3042, Label: 6, Prediction: [ 0.97457808  0.0095768   0.00322793]
filename : 305, Label: 18, Prediction: [ 0.7766121   0.18676531  0.01117235]
filename : 3059, Label: 21, Prediction: [ 0.25742164  0.21880217  0.18595013]
filename : 3063, Label: 9, Prediction: [ 0.71148771  0.26102719  0.00715378]
filename : 3064, Label: 26, Prediction: [ 0.97792667  0.018475    0.00124216]
filename : 307, Label: 29, Prediction: [ 0.99367023  0.00159715  0.00145278]
filename : 3083, Label: 8, Prediction: [ 0.71291625  0.11475936  0.09229334]
filename : 3091, Label: 5, Prediction: [ 0.63126647  0.32597363  0.0322505 ]
filename : 31, Label: 10, Prediction: [ 0.31921342  0.28398937  0.19190571]
filename : 3108, Label: 23, Prediction: [ 0.96274877  0.01176534  0.00561595]
filename : 3119, Label: 6, Prediction: [ 0.76717609  0.16283147  0.02031875]
filename : 3125, Label: 19, Prediction: [ 0.99544072  0.00244419  0.00175513]
filename : 3126, Label: 14, Prediction: [ 0.58466655  0.19345549  0.17177086]
filename : 3132, Label: 23, Prediction: [ 0.77934617  0.21671441  0.00145041]
filename : 3139, Label: 2, Prediction: [  9.99747455e-01   1.18787597e-04   7.36886286e-05]
filename : 3148, Label: 25, Prediction: [ 0.73813814  0.18630537  0.05301632]
filename : 3157, Label: 8, Prediction: [ 0.98296297  0.00705836  0.00491384]
filename : 3161, Label: 7, Prediction: [ 0.96324116  0.02372117  0.00322747]
filename : 3168, Label: 19, Prediction: [ 0.58100086  0.2206433   0.07701954]
filename : 3177, Label: 14, Prediction: [ 0.33528766  0.30008909  0.25567687]
filename : 3179, Label: 19, Prediction: [ 0.93398315  0.04027826  0.01781992]
filename : 3187, Label: 29, Prediction: [ 0.61759591  0.3642841   0.00780914]
filename : 3195, Label: 14, Prediction: [ 0.68363088  0.28542191  0.01305881]
filename : 3200, Label: 2, Prediction: [ 0.80692846  0.08713415  0.0755665 ]
filename : 321, Label: 26, Prediction: [ 0.52075827  0.33721307  0.09153884]
filename : 3218, Label: 19, Prediction: [  9.87566710e-01   1.16310082e-02   2.97909166e-04]
filename : 3232, Label: 23, Prediction: [  9.99936104e-01   4.52399690e-05   5.69269741e-06]
filename : 3240, Label: 13, Prediction: [ 0.5642392   0.18327041  0.16606845]
filename : 3242, Label: 23, Prediction: [ 0.97294307  0.01861503  0.00409339]
filename : 3248, Label: 6, Prediction: [ 0.87105614  0.05840157  0.02769127]
filename : 3256, Label: 19, Prediction: [ 0.82495034  0.05717233  0.03730132]
filename : 3262, Label: 20, Prediction: [ 0.54538876  0.12116196  0.09282844]
filename : 3276, Label: 6, Prediction: [ 0.36007795  0.28570011  0.22247645]
filename : 3283, Label: 3, Prediction: [ 0.93393946  0.04639196  0.01675218]
filename : 3291, Label: 14, Prediction: [ 0.97153544  0.01367088  0.00486152]
filename : 3300, Label: 13, Prediction: [  9.99015331e-01   9.22118605e-04   2.90190674e-05]
filename : 3301, Label: 19, Prediction: [ 0.50827807  0.19468835  0.17930759]
filename : 3310, Label: 29, Prediction: [  9.95313048e-01   1.48863241e-03   8.65692564e-04]
filename : 3322, Label: 8, Prediction: [ 0.44341558  0.28226733  0.22189642]
filename : 3331, Label: 11, Prediction: [ 0.39311832  0.21848679  0.21229316]
filename : 3348, Label: 23, Prediction: [ 0.88862455  0.04092432  0.03751455]
filename : 3352, Label: 10, Prediction: [ 0.86044121  0.07728606  0.02360225]
filename : 3364, Label: 22, Prediction: [ 0.85204554  0.10070189  0.0334923 ]
filename : 3377, Label: 13, Prediction: [ 0.3762731   0.31249085  0.25066796]
filename : 3380, Label: 1, Prediction: [ 0.93735766  0.03133155  0.02437785]
filename : 339, Label: 19, Prediction: [ 0.9967435   0.00152072  0.00112907]
filename : 3395, Label: 7, Prediction: [ 0.39621317  0.34165585  0.13757673]
filename : 3410, Label: 19, Prediction: [ 0.64454281  0.14983504  0.12420366]
filename : 3416, Label: 19, Prediction: [ 0.77985626  0.10061139  0.0803897 ]
filename : 3421, Label: 22, Prediction: [ 0.87747312  0.11474138  0.00530937]
filename : 3433, Label: 4, Prediction: [  9.95072186e-01   3.51875462e-03   5.72561636e-04]
filename : 344, Label: 27, Prediction: [  1.00000000e+00   1.26517874e-09   4.83377172e-10]
filename : 3440, Label: 18, Prediction: [ 0.36833152  0.30020005  0.07876756]
filename : 3448, Label: 29, Prediction: [ 0.43183115  0.23637016  0.08387405]
filename : 3454, Label: 12, Prediction: [ 0.75864702  0.15976945  0.02797275]
filename : 3462, Label: 18, Prediction: [ 0.35419586  0.26048535  0.18711171]
filename : 347, Label: 2, Prediction: [ 0.73095047  0.14107949  0.03089253]
filename : 3474, Label: 3, Prediction: [ 0.51792699  0.1710121   0.15362783]
filename : 3482, Label: 16, Prediction: [ 0.97336924  0.00953009  0.00857133]
filename : 3489, Label: 23, Prediction: [ 0.9165262   0.01891666  0.01664219]
filename : 3491, Label: 12, Prediction: [ 0.63531929  0.06750479  0.06002399]
filename : 350, Label: 3, Prediction: [  8.91159952e-01   1.08221322e-01   5.53185935e-04]
filename : 3506, Label: 14, Prediction: [ 0.61112654  0.14765689  0.10142509]
filename : 3519, Label: 18, Prediction: [ 0.51128656  0.29950482  0.12026796]
filename : 3523, Label: 7, Prediction: [ 0.45283407  0.39144555  0.10530785]
filename : 3535, Label: 5, Prediction: [ 0.30195349  0.27207899  0.1935723 ]
filename : 3547, Label: 25, Prediction: [ 0.50121874  0.38607752  0.07033543]
filename : 3551, Label: 3, Prediction: [ 0.40456304  0.26935005  0.25514039]
filename : 3553, Label: 14, Prediction: [  9.99717295e-01   1.75875990e-04   3.38426253e-05]
filename : 3561, Label: 21, Prediction: [ 0.94004732  0.01641917  0.01053477]
filename : 357, Label: 29, Prediction: [ 0.47033018  0.35540196  0.13716289]
filename : 3581, Label: 19, Prediction: [  9.99571383e-01   3.32266703e-04   7.88429970e-05]
filename : 3589, Label: 7, Prediction: [ 0.6296649   0.36318174  0.00462689]
filename : 3596, Label: 17, Prediction: [ 0.57951862  0.30313051  0.06133088]
filename : 3605, Label: 25, Prediction: [ 0.97454983  0.0198704   0.00248815]
filename : 3614, Label: 22, Prediction: [ 0.53410536  0.40750456  0.03571957]
filename : 3616, Label: 2, Prediction: [ 0.43339306  0.29826242  0.21748367]
filename : 3630, Label: 10, Prediction: [ 0.91133457  0.01906054  0.01619519]
filename : 3645, Label: 7, Prediction: [ 0.69535655  0.24734335  0.02651958]
filename : 3650, Label: 9, Prediction: [ 0.94384313  0.04219072  0.0043861 ]
filename : 3657, Label: 29, Prediction: [ 0.87309158  0.11271824  0.00279964]
filename : 3668, Label: 23, Prediction: [ 0.86573237  0.06795355  0.05783177]
filename : 3676, Label: 5, Prediction: [ 0.39675888  0.27352348  0.15915492]
filename : 3682, Label: 23, Prediction: [ 0.61623204  0.3714259   0.00490389]
filename : 3686, Label: 20, Prediction: [ 0.73743135  0.13628966  0.02416501]
filename : 3693, Label: 20, Prediction: [ 0.54598808  0.26306751  0.18984587]
