filename : 10, Label: 27, Prediction: [ 0.8510384   0.14269173  0.00225688]
filename : 2351, Label: 29, Prediction: [  9.96120095e-01   3.21008847e-03   4.66244674e-04]
filename : 2364, Label: 14, Prediction: [  9.94858027e-01   5.03626000e-03   5.26748008e-05]
filename : 2371, Label: 8, Prediction: [  7.56797254e-01   2.41434276e-01   7.53798871e-04]
filename : 2380, Label: 13, Prediction: [ 0.9475286   0.04056913  0.00567137]
filename : 2389, Label: 19, Prediction: [ 0.92027092  0.04187397  0.02004856]
filename : 2402, Label: 14, Prediction: [ 0.61769652  0.22432762  0.03797525]
filename : 2403, Label: 29, Prediction: [  9.91444170e-01   7.88958464e-03   1.95685177e-04]
filename : 2414, Label: 13, Prediction: [  9.99991417e-01   8.63672631e-06   3.39405588e-08]
filename : 242, Label: 12, Prediction: [ 0.96787864  0.01918913  0.00604395]
filename : 2433, Label: 22, Prediction: [ 0.86557645  0.12987581  0.00149662]
filename : 2446, Label: 19, Prediction: [ 0.63530666  0.21914102  0.04278173]
filename : 2453, Label: 10, Prediction: [  9.98730242e-01   5.84208465e-04   2.01061775e-04]
filename : 246, Label: 3, Prediction: [ 0.44375566  0.33830085  0.19948637]
filename : 2467, Label: 5, Prediction: [ 0.76800144  0.10694844  0.06428248]
filename : 2470, Label: 13, Prediction: [  9.99226689e-01   7.71123625e-04   1.19247693e-06]
filename : 2477, Label: 12, Prediction: [  9.96792138e-01   1.04612601e-03   6.78469078e-04]
filename : 2484, Label: 27, Prediction: [  9.99405861e-01   2.42797585e-04   1.80089919e-04]
filename : 2499, Label: 8, Prediction: [  9.99478281e-01   4.89625731e-04   1.37870702e-05]
filename : 251, Label: 14, Prediction: [ 0.56299436  0.1939185   0.06666579]
filename : 2515, Label: 2, Prediction: [  9.95280802e-01   4.02711146e-03   2.93701625e-04]
filename : 2523, Label: 15, Prediction: [ 0.22098413  0.18820515  0.11089437]
filename : 2541, Label: 9, Prediction: [ 0.79436755  0.19333386  0.0105311 ]
filename : 2542, Label: 29, Prediction: [  9.96443808e-01   2.59703957e-03   2.57731968e-04]
filename : 2553, Label: 24, Prediction: [ 0.89860368  0.0653347   0.02751999]
filename : 2569, Label: 6, Prediction: [ 0.67530257  0.20932998  0.06515565]
filename : 2574, Label: 28, Prediction: [ 0.99195194  0.00252449  0.00168835]
filename : 2580, Label: 12, Prediction: [ 0.68073624  0.20313969  0.08815972]
filename : 2585, Label: 1, Prediction: [ 0.9786092   0.01943562  0.00180213]
filename : 26, Label: 13, Prediction: [  9.97270405e-01   2.14606384e-03   4.71569074e-04]
filename : 2607, Label: 6, Prediction: [ 0.69969112  0.10579571  0.09881874]
filename : 2608, Label: 6, Prediction: [ 0.99399638  0.0025443   0.00250323]
filename : 2618, Label: 29, Prediction: [ 0.84286475  0.13378036  0.01074266]
filename : 2630, Label: 10, Prediction: [ 0.95634907  0.01496497  0.00856729]
filename : 264, Label: 2, Prediction: [ 0.37265658  0.2578845   0.11335005]
filename : 2650, Label: 22, Prediction: [ 0.35799554  0.22616889  0.1250392 ]
filename : 266, Label: 25, Prediction: [ 0.62548977  0.27366179  0.06088336]
filename : 2668, Label: 7, Prediction: [ 0.97608191  0.01103107  0.00732063]
filename : 2675, Label: 11, Prediction: [ 0.7068029   0.28457764  0.0051117 ]
filename : 2676, Label: 15, Prediction: [ 0.98280948  0.01248844  0.00292334]
filename : 2681, Label: 6, Prediction: [ 0.6202026   0.1880897   0.10744592]
filename : 2686, Label: 12, Prediction: [  9.96664464e-01   1.63321360e-03   7.81057053e-04]
filename : 2699, Label: 25, Prediction: [ 0.40096584  0.2624191   0.17032896]
filename : 2711, Label: 19, Prediction: [ 0.91689408  0.02272372  0.01787516]
filename : 2726, Label: 6, Prediction: [ 0.71543926  0.10815759  0.10467685]
filename : 2734, Label: 6, Prediction: [ 0.84372312  0.09064343  0.04225926]
filename : 274, Label: 17, Prediction: [ 0.91064388  0.03151988  0.01278495]
filename : 2740, Label: 21, Prediction: [ 0.89429939  0.04471279  0.04285554]
filename : 2750, Label: 24, Prediction: [  9.99938130e-01   2.40177433e-05   2.35026237e-05]
filename : 2765, Label: 8, Prediction: [ 0.66394538  0.22647126  0.10016419]
filename : 2773, Label: 14, Prediction: [  9.99731123e-01   1.94889944e-04   6.32339870e-05]
filename : 2789, Label: 19, Prediction: [ 0.55346328  0.28963131  0.13009416]
filename : 2797, Label: 22, Prediction: [ 0.94443834  0.02711968  0.00724197]
filename : 2805, Label: 25, Prediction: [ 0.72776103  0.16183987  0.09752434]
filename : 2813, Label: 12, Prediction: [ 0.60668242  0.29312849  0.06482378]
filename : 2815, Label: 29, Prediction: [ 0.98581898  0.01041731  0.00136682]
filename : 2822, Label: 11, Prediction: [ 0.83426541  0.12900816  0.0342702 ]
filename : 2830, Label: 27, Prediction: [  9.99141216e-01   4.02291917e-04   1.92777647e-04]
filename : 2838, Label: 6, Prediction: [ 0.69963968  0.20056863  0.03854691]
filename : 2845, Label: 21, Prediction: [ 0.98373622  0.00722251  0.00515296]
filename : 2858, Label: 22, Prediction: [  9.97687578e-01   1.96874584e-03   1.90005754e-04]
filename : 2869, Label: 9, Prediction: [ 0.80393064  0.15368477  0.01281653]
filename : 2877, Label: 19, Prediction: [ 0.63923877  0.29162878  0.02955888]
filename : 2878, Label: 25, Prediction: [ 0.43442217  0.24035463  0.23315969]
filename : 2894, Label: 10, Prediction: [ 0.77452797  0.21762511  0.00148893]
filename : 2902, Label: 17, Prediction: [ 0.61301529  0.1138956   0.07664935]
filename : 2912, Label: 13, Prediction: [  9.99978185e-01   2.17030865e-05   5.48885417e-08]
filename : 292, Label: 7, Prediction: [ 0.29113868  0.26821771  0.25634474]
filename : 293, Label: 27, Prediction: [  9.99998093e-01   1.86911882e-06   5.53463897e-09]
filename : 2940, Label: 15, Prediction: [ 0.89120162  0.06445895  0.01948081]
filename : 2946, Label: 12, Prediction: [ 0.5399633   0.23423406  0.05356734]
filename : 2948, Label: 3, Prediction: [ 0.879574    0.06220157  0.03520856]
filename : 2956, Label: 25, Prediction: [ 0.93599886  0.03853054  0.00597929]
filename : 2964, Label: 28, Prediction: [ 0.49611634  0.40523344  0.03964802]
filename : 2970, Label: 7, Prediction: [ 0.57721233  0.15379699  0.10571355]
filename : 2983, Label: 13, Prediction: [ 0.94107711  0.05114051  0.00474285]
filename : 2993, Label: 17, Prediction: [ 0.63189757  0.2520408   0.05346093]
filename : 3000, Label: 3, Prediction: [ 0.88365197  0.07361266  0.0199818 ]
filename : 3011, Label: 26, Prediction: [ 0.65340304  0.08713756  0.0771455 ]
filename : 3013, Label: 27, Prediction: [  9.94952559e-01   4.38761944e-03   2.94117082e-04]
filename : 3021, Label: 15, Prediction: [ 0.39747021  0.20825453  0.18738015]
filename : 3026, Label: 18, Prediction: [ 0.70150024  0.10997984  0.07749601]
filename : 3034, Label: 29, Prediction: [ 0.96161079  0.01446574  0.01069336]
filename : 3042, Label: 6, Prediction: [  9.97634768e-01   1.00797217e-03   3.60704580e-04]
filename : 305, Label: 29, Prediction: [ 0.88111466  0.0957521   0.00554181]
filename : 3059, Label: 11, Prediction: [ 0.4695842   0.16290446  0.1067548 ]
filename : 3063, Label: 11, Prediction: [ 0.30597726  0.25971285  0.18339805]
filename : 3064, Label: 26, Prediction: [ 0.96823454  0.01561122  0.01430632]
filename : 307, Label: 29, Prediction: [  9.99761045e-01   7.79908369e-05   7.00804303e-05]
filename : 3083, Label: 11, Prediction: [ 0.54172641  0.18901341  0.1521917 ]
filename : 3091, Label: 8, Prediction: [ 0.81133181  0.16153529  0.01185791]
filename : 31, Label: 10, Prediction: [ 0.48832443  0.35283908  0.08314454]
filename : 3108, Label: 27, Prediction: [ 0.55786222  0.11256709  0.09399845]
filename : 3119, Label: 6, Prediction: [ 0.9914887   0.00479859  0.00205964]
filename : 3125, Label: 19, Prediction: [  9.98600185e-01   8.72210599e-04   2.65599141e-04]
filename : 3126, Label: 17, Prediction: [ 0.38535246  0.31136999  0.13929176]
filename : 3132, Label: 24, Prediction: [ 0.54294831  0.44991383  0.00221588]
filename : 3139, Label: 2, Prediction: [  9.96216118e-01   1.61263917e-03   9.61698592e-04]
filename : 3148, Label: 25, Prediction: [ 0.56982923  0.38364279  0.02453942]
filename : 3157, Label: 8, Prediction: [ 0.98217863  0.0101674   0.00423515]
filename : 3161, Label: 7, Prediction: [ 0.90018517  0.05737607  0.01568228]
filename : 3168, Label: 19, Prediction: [ 0.56494969  0.26594129  0.07177505]
filename : 3177, Label: 22, Prediction: [ 0.73354512  0.09723523  0.06754205]
filename : 3179, Label: 19, Prediction: [ 0.91047078  0.05943301  0.0130308 ]
filename : 3187, Label: 17, Prediction: [ 0.71984565  0.273045    0.00251925]
filename : 3195, Label: 14, Prediction: [ 0.98955286  0.00712198  0.00238497]
filename : 3200, Label: 2, Prediction: [ 0.9767369   0.01258799  0.00533565]
filename : 321, Label: 22, Prediction: [ 0.59297317  0.18652962  0.12256695]
filename : 3218, Label: 19, Prediction: [  9.79503393e-01   1.81312636e-02   6.21001935e-04]
filename : 3232, Label: 23, Prediction: [  9.99994159e-01   2.97760562e-06   1.50837127e-06]
filename : 3240, Label: 27, Prediction: [ 0.59491432  0.17053194  0.16398232]
filename : 3242, Label: 23, Prediction: [ 0.80659997  0.1801157   0.0052173 ]
filename : 3248, Label: 28, Prediction: [ 0.45713109  0.36363959  0.13264622]
filename : 3256, Label: 19, Prediction: [ 0.6246298   0.16137293  0.12316263]
filename : 3262, Label: 26, Prediction: [ 0.43203083  0.34093821  0.06940333]
filename : 3276, Label: 6, Prediction: [ 0.78941917  0.12636472  0.05294823]
filename : 3283, Label: 7, Prediction: [ 0.84711438  0.14697129  0.00452904]
filename : 3291, Label: 14, Prediction: [  9.99295950e-01   1.92501422e-04   1.72435728e-04]
filename : 3300, Label: 13, Prediction: [  9.99889493e-01   9.27403889e-05   8.01458100e-06]
filename : 3301, Label: 19, Prediction: [ 0.245442    0.19764173  0.19674   ]
filename : 3310, Label: 29, Prediction: [ 0.98271376  0.00390131  0.00254732]
filename : 3322, Label: 8, Prediction: [ 0.31988919  0.22719522  0.22261898]
filename : 3331, Label: 29, Prediction: [ 0.78550857  0.13859223  0.0409122 ]
filename : 3348, Label: 23, Prediction: [ 0.5960809   0.26320821  0.07822581]
filename : 3352, Label: 10, Prediction: [ 0.8233425   0.16907381  0.00159984]
filename : 3364, Label: 26, Prediction: [ 0.42205513  0.29999408  0.20222291]
filename : 3377, Label: 13, Prediction: [ 0.33803979  0.21823803  0.18795624]
filename : 3380, Label: 1, Prediction: [ 0.76981723  0.16867055  0.0315521 ]
filename : 339, Label: 19, Prediction: [ 0.91472149  0.03732983  0.02375896]
filename : 3395, Label: 11, Prediction: [ 0.65957123  0.1886792   0.10647748]
filename : 3410, Label: 19, Prediction: [ 0.36399233  0.287752    0.12681317]
filename : 3416, Label: 19, Prediction: [ 0.97910964  0.01097236  0.00305174]
filename : 3421, Label: 19, Prediction: [ 0.56968832  0.41958448  0.00593617]
filename : 3433, Label: 4, Prediction: [  9.22405839e-01   7.54100978e-02   6.83606311e-04]
filename : 344, Label: 27, Prediction: [  1.00000000e+00   1.30653299e-09   5.69516212e-10]
filename : 3440, Label: 18, Prediction: [ 0.628708    0.06096805  0.05973914]
filename : 3448, Label: 18, Prediction: [ 0.84983051  0.10912512  0.03160013]
filename : 3454, Label: 8, Prediction: [ 0.3637425   0.30279014  0.07590288]
filename : 3462, Label: 1, Prediction: [ 0.45901754  0.26558217  0.10117292]
filename : 347, Label: 2, Prediction: [ 0.413692   0.3100808  0.1010731]
filename : 3474, Label: 3, Prediction: [ 0.52122676  0.28557083  0.05364584]
filename : 3482, Label: 16, Prediction: [ 0.95330745  0.03383867  0.00699358]
filename : 3489, Label: 23, Prediction: [ 0.77429003  0.137769    0.07486612]
filename : 3491, Label: 12, Prediction: [ 0.62914568  0.1252867   0.05555959]
filename : 350, Label: 3, Prediction: [  9.93283868e-01   6.27823127e-03   2.34045277e-04]
filename : 3506, Label: 17, Prediction: [ 0.32334876  0.23032238  0.16050535]
filename : 3519, Label: 29, Prediction: [ 0.38438806  0.36795491  0.17951083]
filename : 3523, Label: 7, Prediction: [ 0.61287093  0.26968443  0.10797089]
filename : 3535, Label: 22, Prediction: [ 0.67578441  0.11680854  0.09756911]
filename : 3547, Label: 19, Prediction: [ 0.56392956  0.39207608  0.02476167]
filename : 3551, Label: 3, Prediction: [ 0.36369899  0.3218222   0.0712159 ]
filename : 3553, Label: 14, Prediction: [  9.92233515e-01   5.85247763e-03   5.81921835e-04]
filename : 3561, Label: 21, Prediction: [ 0.53456366  0.13839981  0.12360719]
filename : 357, Label: 13, Prediction: [ 0.5918926   0.27246648  0.10162594]
filename : 3581, Label: 19, Prediction: [  9.99987483e-01   7.57909720e-06   3.29694626e-06]
filename : 3589, Label: 7, Prediction: [ 0.92361313  0.07343276  0.00258818]
filename : 3596, Label: 17, Prediction: [ 0.62234312  0.36307302  0.00753592]
filename : 3605, Label: 25, Prediction: [ 0.98643386  0.00761404  0.0029643 ]
filename : 3614, Label: 22, Prediction: [ 0.95111305  0.04092092  0.00553357]
filename : 3616, Label: 2, Prediction: [ 0.79850918  0.07398663  0.06026549]
filename : 3630, Label: 10, Prediction: [ 0.79688609  0.08242935  0.06406522]
filename : 3645, Label: 7, Prediction: [ 0.89736515  0.05642511  0.016651  ]
filename : 3650, Label: 9, Prediction: [ 0.81992489  0.12602909  0.02194937]
filename : 3657, Label: 29, Prediction: [ 0.96267873  0.01533756  0.01220281]
filename : 3668, Label: 23, Prediction: [ 0.86810583  0.0486614   0.03901247]
